hajoca_product_id,sku,description,category,manufacturer,manufacturer_cleaned,uom,hajoca_profit_center,current_price,availability,qty_avail,is_active,status,sell_qty,pkg_qty,pricing_qty,catalog_no,hist_purchases,has_image
3635082,2006856,"NAVIEN GXXX001897 VENT PIPE EXTENSION 39"" METAL NON CONDENSING (NAViVENT)",General,Unknown,Navien,EA,328,353,in_stock,0,True,,0,0,0,,0,1
6205389,2497456,KOHLER K-T73140-4-BL COMPOSED  DIV TRIM BL,General,Unknown,Kohler,EA,328,1694,in_stock,0,True,,0,0,0,,0,0
7676746,1918710,KOHLER K-30612-VS JOLT PULLOUT KIT FCT VS,General,Unknown,Kohler,EA,328,8464,in_stock,0,True,,0,0,0,,0,0
84,,"4""     x 20' ""M"" COPPER TUBE",General,Unknown,,EA,328,7164,in_stock,0,True,,0,0,0,,0,0
6808197,1707189,KOHLER K-T14420-4G-BL PURIST  T&S TRIM SET W/ PUSH DIV BL,General,Unknown,Kohler,EA,328,7937,in_stock,0,True,,0,0,0,,0,0
6998,,4x3 REDUCING COUPLING GALV,General,Unknown,,EA,328,8966,in_stock,0,True,,0,0,0,,0,0
4687637,2057453,ISE H-VIEW-SNSS Hot H2O Dispenser w/ Tank SN 44716A,General,Unknown,InSinkErator,EA,328,5668,in_stock,0,True,,0,0,0,,0,1
30085,,"PPP SWA-500 ""A"" 1/2"" SWEAT WATER HAMMER ARRESTER",General,Unknown,Precision Plumbing Products,EA,328,3421,in_stock,0,True,,0,0,0,,0,0
2215,,"3"" UPC BRASS CLEANOUT PLUG (ABA178)",General,Unknown,,EA,328,2752,in_stock,53,True,,0,0,0,,0,0
2315461,,1-1/2x6 20GA SJ EXTENSION TUBE 792-20-1 2313 ML7921,General,Unknown,,EA,328,3045,in_stock,0,True,,0,0,0,,0,0
6991,,3/4x4 P/C WIRE PIPE HANGER 10GA (W34410) (WPH3/4x4-PL-10),General,Unknown,,EA,328,3940,in_stock,0,True,,0,0,0,,0,1
2736,2417082,RW 267 1-1/2 IPS BRASS GATE VALVE (NON-AB1953),General,Unknown,IPS Corporation,EA,328,8297,in_stock,0,True,,0,0,0,,0,1
4585783,2015252,TOTO CST642CEFGAT40#01 NEXUS  1PC EF ADA 1.28GPF TLT COTTON,General,Unknown,TOTO,EA,328,7579,in_stock,0,True,,0,0,0,,0,0
5223256,3100878,KOHLER K-5310-0 CIMARRON EF SKIRTED 2PC TLT ADA WHT 1.28GPF,General,Unknown,Kohler,EA,328,687,in_stock,0,True,,0,0,0,,0,0
